account_id,account_name,slug,spreadsheet_id,spreadsheet_url,dashboard_folder,meta_account_id,project_sheet_id
888-635-8446,DRC,drc-gzsn,1XSwrShCI67CcJQ1UMfF7D-U62HWwBl6X0vH-UB2yKWc,https://docs.google.com/spreadsheets/d/1XSwrShCI67CcJQ1UMfF7D-U62HWwBl6X0vH-UB2yKWc/edit,drc-gzsn,,
178-500-8374,kl-advisory.cz,kl-advisory-cz-qevz,1t5vd1KLeNtpLOxA2kbabSSF1gfuwX4mrl22gU8xUqbc,https://docs.google.com/spreadsheets/d/1t5vd1KLeNtpLOxA2kbabSSF1gfuwX4mrl22gU8xUqbc/edit,kl-advisory-cz-qevz,,
974-651-2980,Tribute,tribute-eany,1mv4dW0B5Im8dZhXoo9iU_WfQ9ZjyUlJ4pZRRB7DHlyA,https://docs.google.com/spreadsheets/d/1mv4dW0B5Im8dZhXoo9iU_WfQ9ZjyUlJ4pZRRB7DHlyA/edit,tribute-eany,,
940-871-0656,Tribute US,tribute-us-m2nf,1_YgT84biggUsKB1jvr_PbPskqDZZ1jOfL35INCs8nL0,https://docs.google.com/spreadsheets/d/1_YgT84biggUsKB1jvr_PbPskqDZZ1jOfL35INCs8nL0/edit,tribute-us-m2nf,,
446-968-5711,Академия ERA,akademiya-era-3pbm,1OzvPjtCBBSBB9QULmRgIPaiuJgR9AV84L4Y4DBqrrGw,https://docs.google.com/spreadsheets/d/1OzvPjtCBBSBB9QULmRgIPaiuJgR9AV84L4Y4DBqrrGw/edit,akademiya-era-3pbm,,
545-312-7535,NEXA MAX,nexa-max-rne3,1d4ssIRZu-pJuqWKTOd-L21Mj5lvleRhIuMO9sVksaZo,https://docs.google.com/spreadsheets/d/1d4ssIRZu-pJuqWKTOd-L21Mj5lvleRhIuMO9sVksaZo/edit,nexa-max-rne3,715187738301900,
914-810-5349,Colizeum Madrid,colizeum-madrid-ytnc,17G7V_-98Vq1inuOT6vBHPZh5lxXAXFD5GTXVSlq2Ppc,https://docs.google.com/spreadsheets/d/17G7V_-98Vq1inuOT6vBHPZh5lxXAXFD5GTXVSlq2Ppc/edit,colizeum-madrid-ytnc,,
604-462-1203,LoR,lor-xh83,1CyYy6S-WvB-q5ngUXE8ctWUPYfxwkXQbwx0nAMuzGQs,https://docs.google.com/spreadsheets/d/1CyYy6S-WvB-q5ngUXE8ctWUPYfxwkXQbwx0nAMuzGQs/edit,lor-xh83,,
,Seven Sky,seven-sky-5cr7,1hAHHkrztTjXO0u3wm1U13S-1xnx-lsAF43MA6SCj3uc,https://docs.google.com/spreadsheets/d/1hAHHkrztTjXO0u3wm1U13S-1xnx-lsAF43MA6SCj3uc/edit,seven-sky-5cr7,2359666091216983,
,BS Clinic,bs-clinic-a5b4,1YGHZIwsziJrHXy-nVoC2RFAA1W-u_8TYW68OrUaWDh8,https://docs.google.com/spreadsheets/d/1YGHZIwsziJrHXy-nVoC2RFAA1W-u_8TYW68OrUaWDh8/edit,bs-clinic-a5b4,1754897661265056,
,VISA Agency,visa-agency-qa3b,1Smt3dFRaQNrbsnDHgjqGdPj0y8YeQf13rEbPzzfWADA,https://docs.google.com/spreadsheets/d/1Smt3dFRaQNrbsnDHgjqGdPj0y8YeQf13rEbPzzfWADA/edit,visa-agency-qa3b,582816622143849,
,Profkit,profkit-yg2a,1hTjQvlWFWNPfWjhyogu8F7Ua9WA0ycAyxKIc-aP8ylo,https://docs.google.com/spreadsheets/d/1hTjQvlWFWNPfWjhyogu8F7Ua9WA0ycAyxKIc-aP8ylo/edit,profkit-yg2a,394051718160331,
,MurMur,murmur-up8m,1qfk53cb84aN1Vc23KlGhJ1kn1FG5FpNCuZJNDVOny4o,https://docs.google.com/spreadsheets/d/1qfk53cb84aN1Vc23KlGhJ1kn1FG5FpNCuZJNDVOny4o/edit,murmur-up8m,844818919266098,
,TOYS AGENCY,toys-agency-ctft,1CdSz9O_lQkAeItppFaHD4ZbJcxTSz1BfAoT8ZS81UTs,https://docs.google.com/spreadsheets/d/1CdSz9O_lQkAeItppFaHD4ZbJcxTSz1BfAoT8ZS81UTs/edit,toys-agency-ctft,503232073666825,
